CEP|ENDEREÇO|VIABILIDADE
17207130|['CATARINA,STA - 127; VILA MARIA CRISTINA - 17207130; JAU - SP - (1570)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210720|['CESARIO CARAMANO - 199; JARDIM AMERICA - 17210720; JAU - SP - (1651)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207460|['SANTOS DUMONT - 100; JARDIM BELA VISTA - 17207460; JAU - SP - (7455)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209070|"[""Erro ao invocar o serviço 'GVT ServiceAvailability2 BS', método 'checkResourceAvailability' na etapa 'Call Check Coverage'.(SBL-BPR-00162) -- A operação 'checkResourceAvailability' está esperando uma resposta, mas não recebeu nenhuma.(SBL-EAI-04311)(SBL-BPR-00131)""]"|
17208270|['NETINHO PRADO - 306; JARDIM VILA MARIA - 17208270; JAU - SP - (6076)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208550|['ITALO MAZZEI,COMEND - 30; JARDIM OLIMPIA - 17208550; JAU - SP - (10138)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17205073|['ANSELMO CARDILLO,DR - 50; VILA SAMPAIO BUENO - 17205073; JAU - SP - (9210)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209420|['PAULO SANTO FRANCESCHINI - 203; JARDIM ITAMARATI - 17209420; JAU - SP - (7447)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208270|['CEP não cadastrado na base de endereços do sistema.']|
17208480|['ROBERTO CROZERA - 588; JARDIM SAO CRISPIM - 17208480; JAU - SP - (11606)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210470|['DOMINGOS LEONELLI - 208; JARDIM ALVORADA - 17210470; JAU - SP - (2178)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208480|['ROBERTO CROZERA - 602; JARDIM SAO CRISPIM - 17208480; JAU - SP - (11606)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207550|['CICERO ALVES - 256; VILA ALVES DE ALMEIDA - 17207550; JAU - SP - (1686)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208150|['MIGUEL SANCINETTI - 382; JARDIM NETINHO PRADO - 17208150; JAU - SP - (5827)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207720|['LUCIO DE ARRUDA LEME - 444; JARDIM CAROLINA - 17207720; JAU - SP - (1333)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209010|['ISALTINO AMARAL CARVALHO - 2103; CHACARA BELA VISTA - 17209010; JAU - SP - (3476)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208410|['TICIANO DE LOURENCO - 119; JARDIM MARIA CIBELE - 17208410; JAU - SP - (876)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207710|['HILARIO SANZOVO - 35; JARDIM CAROLINA - 17207710; JAU - SP - (3174)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208270|['NETINHO PRADO - 424; JARDIM VILA MARIA - 17208270; JAU - SP - (6076)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209160|['RUDOLF WIECK - 81; CHACARA SAO JOSE - 17209160; JAU - SP - (7382)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210580|['O campo Nº Imóvel é de preenchimento obrigatório.']|
17208110|['JORDANO SANZOVO - 416; JARDIM NETINHO PRADO - 17208110; JAU - SP - (4502)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210720|['CESARIO CARAMANO - 170; JARDIM AMERICA - 17210720; JAU - SP - (1651)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208400|['MARIA CIBELE SANZOVO - 64; JARDIM MARIA CIBELE - 17208400; JAU - SP - (868)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207130|['CATARINA,STA - 265; VILA MARIA CRISTINA - 17207130; JAU - SP - (1570)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208120|['JESUS DIZ - 364; JARDIM NETINHO PRADO - 17208120; JAU - SP - (3948)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208520|['JULIO CARBONI - 752; JARDIM SAO CRISPIM - 17208520; JAU - SP - (11649)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208270|['NETINHO PRADO - 600; JARDIM VILA MARIA - 17208270; JAU - SP - (6076)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210610|['ETELVINO FERRAZ TEIXEIRA - 403; JARDIM AMERICA - 17210610; JAU - SP - (2585)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
